
nome;telefone;nivel;funcao
Rodrigo Santos;85985412531;3;
Davi Teixeira;85987030036;5;
Alexandre Paz;85984074274;3;
Kaue Silva;85995156060;3;
Victor Mendes;85995087101;4;
Henry Moura;85989207756;3;
Osvaldo Bernardes;85995564608;3;
Mateus Araujo;85996378432;3;
Enrico Peixoto;85981186516;3;
Lorenzo Paula;85988806868;5;
Caleb Goncalves;85984488960;3;
Mario Mota;85998206137;3;
Oliver Costa;85995892593;2;
Bryan Fogaca;85992088490;3;
Felipe Sales;85992387640;1;
Eduardo Cavalcanti;85994474334;3;
Giovanni Rezende;85988186773;3;
Mario Novaes;85981050599;3;
Manoel Barbosa;85992617627;3;
Iago Neves;85989464459;3;
Jhon Breno;PREENCHER_TELEFONE;3;Goleiro
Jhow;PREENCHER_TELEFONE;3;Goleiro
